Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5yJaXWIErrrsjQ3J0eR5aK,The Night We Met,Strange Trails,Lord Huron,4/7/2015,208226,89,FALSE,,2024-12-04T12:15:00Z,,Lord Huron,0.44,0.378,2,-9.545,1,0.045,0.968,0.272,0.639,0.105,174.121,3
spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),The Weeknd;JENNIE;Lily-Rose Depp,6/23/2023,244684,91,FALSE,,2024-12-04T12:15:00Z,k-pop,XO / Republic Records,0.264,0.64,8,-6.221,1,0.0442,0.0393,0.00000231,0.151,0.19,84.828,4
spotify:track:5TFD2bmFKGhoCRbX61nXY5,NUEVAYoL,DeBÍ TiRAR MáS FOToS,Bad Bunny,1/5/2025,183685,97,FALSE,,2025-12-03T12:16:11Z,"reggaeton,trap latino,latin,urbano latino",Rimas Entertainment LLC.,0.142,0.195,6,-20.024,1,0.139,0.265,0.995,0.204,0.12,137.922,4
spotify:track:17phhZDn6oGtzMe56NuWvj,Lose Control,I've Tried Everything But Therapy (Part 1),Teddy Swims,9/15/2023,210688,89,FALSE,,2024-12-04T12:15:00Z,,Warner Records,0.561,0.604,9,-4.409,1,0.0337,0.199,0.000019,0.104,0.242,159.92,3
spotify:track:0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!","Good Luck, Babe!",Chappell Roan,4/5/2024,218423,90,FALSE,,2024-12-04T12:15:00Z,,Chappell Roan PS/ Island,0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,274192,88,TRUE,,2024-12-04T12:15:00Z,"hip hop,west coast hip hop","Kendrick Lamar, under exclusive license to Interscope Records",0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,4
spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Who,MUSE,Jimin,7/19/2024,170887,85,FALSE,,2024-12-04T12:15:00Z,k-pop,BIGHIT MUSIC,0.66,0.756,0,-3.743,0,0.032,0.00289,0,0.193,0.838,116.034,4
spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,I Love You.,The Neighbourhood,4/22/2013,240400,92,FALSE,,2024-12-04T12:15:00Z,,Columbia,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
spotify:track:5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,AM,Arctic Monkeys,9/9/2013,183956,92,FALSE,,2023-11-29T12:16:00Z,"indie,garage rock",Domino Recording Co,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4
spotify:track:4WFgvKVfEhb3IUAFGrutTR,Love Me Not,Bird's Eye,Ravyn Lenae,8/9/2024,213466,89,FALSE,,2025-12-03T12:16:11Z,"alternative r&b,indie soul",Atlantic Records,0.779,0.731,0,-6.176,1,0.0306,0.296,0,0.128,0.814,114.001,4
spotify:track:6J5kc12BW5HuP3d7C3vvx8,EoO,DeBÍ TiRAR MáS FOToS,Bad Bunny,1/5/2025,204768,95,TRUE,,2025-12-03T12:16:11Z,"reggaeton,trap latino,latin,urbano latino",Rimas Entertainment LLC.,0.36,0.464,10,-29.598,0,0.0702,0.749,0.859,0.0825,0.184,63.662,4
spotify:track:3AJwUDP919kvQ9QcozQPxg,Yellow,Parachutes,Coldplay,7/10/2000,266773,91,FALSE,,2024-12-04T12:15:00Z,,Parlophone UK,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
spotify:track:1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,Synchronicity (Remastered 2003),The Police,6/17/1983,253920,93,FALSE,,2025-12-03T12:16:11Z,,Polydor Records,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4
spotify:track:59D4DOkspUbWyMmbAPQkxZ,VOY A LLeVARTE PA PR,DeBÍ TiRAR MáS FOToS,Bad Bunny,1/5/2025,156364,93,TRUE,,2025-12-03T12:16:11Z,"reggaeton,trap latino,latin,urbano latino",Rimas Entertainment LLC.,0.148,0.604,7,-35.032,1,0.0588,0.921,0.453,0.405,0.00001,106.295,3
spotify:track:73scB4Q4fcOmnsBVZPmk32,Si Antes Te Hubiera Conocido,Tropicoqueta,KAROL G,6/20/2025,195824,85,FALSE,,2025-12-03T12:16:11Z,"reggaeton,latin,urbano latino",Bichota/Interscope Records,0.916,0.625,11,-8.379,1,0.0481,0.449,0.000226,0.0749,0.761,128.033,4
spotify:track:6393yGahSJ9slVdOwSxOVR,Pink Pony Club,The Rise and Fall of a Midwest Princess,Chappell Roan,9/21/2023,258034,83,FALSE,,2025-12-03T12:16:11Z,,Chappell Roan PS/ Island,0.61,0.65,6,-6.199,1,0.0474,0.399,0,0.11,0.507,106.719,4
spotify:track:0TFTAtCYhp2tQ9KcJIZb55,undressed,I Barely Know Her,sombr,8/22/2025,182088,88,FALSE,,2025-12-03T12:16:11Z,,Warner Records,0.642,0.887,0,-3.883,1,0.0406,0.137,0,0.0829,0.888,115.999,4
spotify:track:3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,Submarine,The Marías,5/31/2024,236906,90,FALSE,,2025-12-03T12:16:11Z,bedroom pop,Nice Life/Atlantic,0.705,0.339,7,-10.612,1,0.0278,0.552,0.0814,0.12,0.457,97.989,4
spotify:track:2LHNTC9QZxsL3nWpt8iaSR,Abracadabra,MAYHEM,Lady Gaga,3/7/2025,223398,82,FALSE,,2025-12-03T12:16:11Z,"art pop,pop",Interscope Records,0.679,0.906,10,-3.443,0,0.0632,0.0119,0,0.229,0.652,126.01,4
spotify:track:7d6yK8v8J484SWH5prIQiE,VeLDÁ,DeBÍ TiRAR MáS FOToS,Bad Bunny;Omar Courtz;Dei V,1/5/2025,235336,91,TRUE,,2025-12-03T12:16:11Z,"reggaeton,trap latino,latin,urbano latino",Rimas Entertainment LLC.,0.613,0.981,1,-18.638,1,0.149,0.29,0.0023,0.437,0.0337,101.852,3
spotify:track:5UJbgR4XF4y1DvbkxEqe8S,Sports car,So Close To What,Tate McRae,2/20/2025,165045,86,FALSE,,2025-12-03T12:16:11Z,,RCA Records Label,0.861,0.815,11,-3.672,0,0.0349,0.0505,0.00139,0.1,0.886,106.978,4
spotify:track:7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator;Kali Uchis",7/21/2017,180386,89,TRUE,,2023-11-29T12:16:00Z,,Columbia,0.558,0.559,6,-9.222,1,0.0959,0.371,0.00000749,0.109,0.62,78.558,4
spotify:track:27xkOIER6uDLKALIelHylZ,Don’t Say You Love Me,Echo,Jin,5/16/2025,180716,85,FALSE,,2025-12-03T12:16:11Z,k-pop,BIGHIT MUSIC,0.729,0.562,8,-5.49,1,0.0304,0.484,0,0.105,0.757,111.976,4
spotify:track:0fK7ie6XwGxQTIkpFoWkd1,like JENNIE,Ruby,JENNIE,3/7/2025,123517,88,TRUE,,2025-12-03T12:16:11Z,k-pop,OA Entertainment/Columbia,0.811,0.743,10,-5.321,0,0.0611,0.281,0.00671,0.0868,0.815,130.019,4
spotify:track:5G2f63n7IPVPPjfNIGih7Q,Taste,Short n' Sweet,Sabrina Carpenter,8/23/2024,157279,86,FALSE,,2025-12-03T12:16:11Z,pop,Island Records,0.674,0.907,3,-4.086,1,0.064,0.101,0,0.297,0.721,112.964,4
spotify:track:0aB0v4027ukVziUGwVGYpG,tv off (feat. lefty gunplay),GNX,Kendrick Lamar;Lefty Gunplay,11/22/2024,220690,85,TRUE,,2025-12-03T12:16:11Z,"hip hop,west coast hip hop,mexican hip hop","pgLang, under exclusive license to Interscope Records",0.855,0.529,6,-6.679,0,0.263,0.0837,0,0.423,0.548,100.036,4
spotify:track:70LcF31zb1H0PyJoS1Sx1r,Creep,Pablo Honey,Radiohead,2/22/1993,238640,92,TRUE,,2025-12-03T12:16:11Z,"art rock,alternative rock",XL Recordings,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,4
spotify:track:2dd3G3ZqEcG2cNS1tp3oEk,capaz (merengueton),LA CIUDAD,Alleh;Yorghaki,12/24/2024,173858,86,FALSE,,2025-12-03T12:16:11Z,,La Ciudad,0.874,0.613,3,-5.618,0,0.171,0.0791,0.000207,0.135,0.783,126.935,4
spotify:track:0l0vcZMU7AOeQmUIREoI2U,Qué Pasaría...,Cosa Nuestra,Rauw Alejandro;Bad Bunny,11/15/2024,191018,91,TRUE,,2025-12-03T12:16:11Z,"reggaeton,trap latino,urbano latino,latin",Sony Music Latin/Duars Entertainment,0.833,0.563,4,-5.593,0,0.204,0.528,0.0000127,0.139,0.343,105.008,4
spotify:track:6W614n8yLUeS3zsZSeBwyq,blue,"stay with the ocean, i'll find you",yung kai,9/26/2025,214357,73,FALSE,,2025-12-03T12:16:11Z,,BMG Rights Management (US) LLC,0.746,0.317,4,-11.982,1,0.0342,0.933,0.0186,0.121,0.585,97.49,3
spotify:track:51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),eternal sunshine,Ariana Grande,3/8/2024,228639,86,FALSE,,2024-12-04T12:15:00Z,pop,Republic Records,0.645,0.646,5,-8.334,1,0.0427,0.0615,0.0000304,0.074,0.295,115.842,4
